PlayerName,Team1,Team2,Overs,Maidens,Runs,Wickets,Economy,Dream11_score
Dushmantha Chameera,LSG,RCB,3,0,31,2,10.33,52
Avesh Khan,LSG,RCB,4,0,33,0,8.25,4
Krunal Pandya,LSG,RCB,4,0,29,1,7.25,29
Ravi Bishnoi,LSG,RCB,4,0,47,0,11.75,0
Jason Holder,LSG,RCB,4,0,25,2,6.25,56
Marcus Stoinis,LSG,RCB,1,0,14,0,14,4
Mohammed Siraj,RCB,LSG,4,0,31,1,7.75,29
Glenn Maxwell,RCB,LSG,2,0,11,1,5.5,33
Josh Hazlewood,RCB,LSG,4,0,25,4,6.25,114
Shahbaz Ahmed,RCB,LSG,4,0,25,0,6.25,6
Harshal Patel,RCB,LSG,4,0,47,2,11.75,50
Wanindu Hasaranga,RCB,LSG,2,0,20,0,10,2
Shardul Thakur,DC,PBSK,2,0,20,0,10,2
Khaleel Ahmed,DC,PBSK,4,0,21,2,5.25,58
Lalit Yadav,DC,PBSK,2,0,11,2,5.5,58
Mustafizur Rahman,DC,PBSK,4,0,28,1,7,29
Axar Patel,DC,PBSK,4,0,10,2,2.5,60
Kuldeep Yadav,DC,PBSK,4,0,24,2,6,56
Vaibhav Arora,PBSK,DC,2,0,31,0,15.5,-2
Kagiso Rabada,PBSK,DC,3,0,35,0,11.67,0
Arshdeep Singh,PBSK,DC,1,0,17,0,17,4
Nathan Ellis,PBSK,DC,2,0,15,0,7.5,4
Rahul Chahar,PBSK,DC,2.3,0,21,1,8.4,29
Mukesh Choudhary,CSK,MI,3,0,19,3,6.33,85
Mitchell Santner,CSK,MI,3,0,16,1,5.33,33
Maheesh Theekshana,CSK,MI,4,0,35,1,8.75,29
Ravindra Jadeja,CSK,MI,4,0,30,0,7.5,4
Dwaine Pretorius,CSK,MI,2,0,17,0,8.5,4
Dwayne Bravo,CSK,MI,4,0,36,2,9,54
Daniel Sams,MI,CSK,4,0,30,4,7.5,112
Jasprit Bumrah,MI,CSK,4,0,29,0,7.25,4
Riley Meredith,MI,CSK,4,0,25,1,6.25,31
Jaydev Unadkat,MI,CSK,4,0,48,2,12,50
Hrithik Shokeen,MI,CSK,4,0,23,0,5.75,8
Khaleel Ahmed,DC,RR,4,0,47,1,11.75,25
Shardul Thakur,DC,RR,3,1,29,0,9.67,16
Lalit Yadav,DC,RR,4,0,41,0,10.25,2
Mustafizur Rahman,DC,RR,4,0,43,1,10.75,27
Kuldeep Yadav,DC,RR,3,0,40,0,13.33,-2
Axar Patel,DC,RR,2,0,21,0,10.5,2
Trent Boult,RR,DC,4,0,47,0,11.75,0
Prasidh Krishna,RR,DC,4,1,22,3,5.5,99
Obed McCoy,RR,DC,3,0,52,1,17.33,23
Ravichandran Ashwin,RR,DC,4,0,32,2,8,54
Yuzvendra Chahal,RR,DC,4,0,28,1,7,29
Riyan Parag,RR,DC,1,0,22,0,22,4
Umesh Yadav,KKR,GT,4,0,31,1,7.75,29
Tim Southee,KKR,GT,4,0,24,3,6,85
Shivam Mavi,KKR,GT,4,0,36,1,9,29
Sunil Narine,KKR,GT,4,0,31,0,7.75,4
Varun Chakaravarthy,KKR,GT,3,0,26,0,8.67,4
Andre Russell,KKR,GT,1,0,5,4,5,112
Mohammad Shami,GT,KKR,4,0,20,2,5,58
Yash Dayal,GT,KKR,4,0,42,2,10.5,52
Alzarri Joseph,GT,KKR,4,0,31,1,7.75,29
Lockie Ferguson,GT,KKR,4,0,33,1,8.25,29
Rashid Khan,GT,KKR,4,0,22,2,5.5,58
Bhuvneshwar Kumar,SRH,RCB,2.1,0,8,1,3.69,35
Marco Jansen,SRH,RCB,4,0,25,3,6.25,85
T Natarajan,SRH,RCB,3,0,10,3,3.33,89
Jagadeesha Suchith,SRH,RCB,3,0,12,2,4,60
Umran Malik,SRH,RCB,4,0,13,1,3.25,35
Mohammed Siraj,RCB,SRH,2,0,15,0,7.5,4
Josh Hazlewood,RCB,SRH,3,0,31,0,10.33,2
Harshal Patel,RCB,SRH,2,0,18,1,9,29
Wanindu Hasaranga,RCB,SRH,1,0,7,0,7,4
Daniel Sams,MI,LSG,4,0,40,1,10,27
Hrithik Shokeen,MI,LSG,2,0,11,0,5.5,8
Jasprit Bumrah,MI,LSG,4,0,31,1,7.75,29
Riley Meredith,MI,LSG,4,0,40,2,10,52
Jaydev Unadkat,MI,LSG,4,0,36,0,9,4
Kieron Pollard,MI,LSG,2,0,8,2,4,60
Mohsin Khan,LSG,MI,4,0,27,1,6.75,31
Dushmantha Chameera,LSG,MI,4,0,14,0,3.5,10
Jason Holder,LSG,MI,4,0,36,1,9,29
Krunal Pandya,LSG,MI,4,0,19,3,4.75,89
Ravi Bishnoi,LSG,MI,3,0,28,1,9.33,29
Ayush Badoni,LSG,MI,1,0,6,1,6,29
Mukesh Choudhary,CSK,PBSK,4,0,36,0,9,4
Maheesh Theekshana,CSK,PBSK,4,0,32,1,8,29
Mitchell Santner,CSK,PBSK,2,0,8,0,4,10
Ravindra Jadeja,CSK,PBSK,2,0,18,0,9,4
Dwaine Pretorius,CSK,PBSK,4,0,50,0,12.5,-2
